Municipality;Time;Parcel_og_raekkehus_dkk_pr_m2;Ejerlejlighed_dkk_pr_m2
Aalborg;1998K4;6249;8168
Aalborg;1999K1;6509;8204
Aalborg;1999K2;6644;8525
Aalborg;1999K3;6789;8849
Aalborg;1999K4;6568;8997
Aalborg;2000K1;6772;8452
Aalborg;2000K2;6800;9237
Aalborg;2000K3;6951;9153
Aalborg;2000K4;7377;9119
Aalborg;2001K1;7024;9035
Aalborg;2001K2;7217;9164
Aalborg;2001K3;7172;9397
Aalborg;2001K4;6777;9396
Aalborg;2002K1;6952;9338
Aalborg;2002K2;7319;9740
Aalborg;2002K3;7186;9680
Aalborg;2002K4;7165;9344
Aalborg;2003K1;7169;9253
Aalborg;2003K2;7402;9625
Aalborg;2003K3;7236;9877
Aalborg;2003K4;7536;9872
Aalborg;2004K1;7544;10130
Aalborg;2004K2;7906;10411
Aalborg;2004K3;8176;10557
Aalborg;2004K4;8222;10833
Aalborg;2005K1;8402;10881
Aalborg;2005K2;8991;11785
Aalborg;2005K3;8858;12547
Aalborg;2005K4;9278;12584
Aalborg;2006K1;9983;13356
Aalborg;2006K2;11181;13710
Aalborg;2006K3;11201;14078
Aalborg;2006K4;11726;14256
Aalborg;2007K1;11369;14521
Aalborg;2007K2;11649;15104
Aalborg;2007K3;11571;14592
Aalborg;2007K4;11965;14041
Aalborg;2008K1;11567;14147
Aalborg;2008K2;11752;14475
Aalborg;2008K3;12031;13569
Aalborg;2008K4;11817;12534
Aalborg;2009K1;11065;13361
Aalborg;2009K2;11494;12686
Aalborg;2009K3;11392;12839
Aalborg;2009K4;11291;13279
Aalborg;2010K1;11584;12813
Aalborg;2010K2;11660;13475
Aalborg;2010K3;11781;13145
Aalborg;2010K4;11502;13464
Aalborg;2011K1;12048;13278
Aalborg;2011K2;11874;13293
Aalborg;2011K3;11189;12727
Aalborg;2011K4;11723;13059
Aalborg;2012K1;11351;12926
Aalborg;2012K2;11197;13380
Aalborg;2012K3;11551;12875
Aalborg;2012K4;11774;14192
Aalborg;2013K1;11561;13890
Aalborg;2013K2;12340;14171
Aalborg;2013K3;11545;14898
Aalborg;2013K4;11717;14298
Aalborg;2014K1;11622;13957
Aalborg;2014K2;11849;14715
Aalborg;2014K3;11968;14815
Aalborg;2014K4;11961;15754
Aalborg;2015K1;12472;15799
Aalborg;2015K2;12919;16883
Aalborg;2015K3;12326;16334
Aalborg;2015K4;13116;17047
Aalborg;2016K1;12404;17379
Aalborg;2016K2;13333;18453
Aalborg;2016K3;13711;18160
Aalborg;2016K4;13518;19108
Aalborg;2017K1;13528;18727
Aalborg;2017K2;13881;19795
Aalborg;2017K3;14143;20407
Aalborg;2017K4;14653;20833
Aalborg;2018K1;13927;20616
Aalborg;2018K2;14073;20966
Aalborg;2018K3;14022;19610
Aalborg;2018K4;13657;19433
Aalborg;2019K1;13939;19566
Aalborg;2019K2;14201;19668
Aalborg;2019K3;14281;19500
Aalborg;2019K4;14660;19781
Aalborg;2020K1;14197;19109
Aalborg;2020K2;14193;19727
Aalborg;2020K3;14150;19864
Aalborg;2020K4;14433;20088
Aalborg;2021K1;15001;20450
Aalborg;2021K2;15236;20710
Aalborg;2021K3;14869;20832
Aalborg;2021K4;14840;20066
Aalborg;2022K1;15353;20745
Aalborg;2022K2;15077;20548
Aalborg;2022K3;14251;20315
Aalborg;2022K4;15413;20288
Aalborg;2023K1;14782;19902
Aalborg;2023K2;15225;19990
Aalborg;2023K3;15081;19776
Aalborg;2023K4;14725;19412
Aalborg;2024K1;15552;19654
Aalborg;2024K2;15855;19656
Aalborg;2024K3;15237;20202
Aalborg;2024K4;15594;19358
Frederikshavn;1992K1;3640;4125
Frederikshavn;1992K2;3645;4412
Frederikshavn;1992K3;3475;4079
Frederikshavn;1992K4;3562;3990
Frederikshavn;1993K1;3301;3699
Frederikshavn;1993K2;3392;4538
Frederikshavn;1993K3;3529;4042
Frederikshavn;1993K4;3584;5653
Frederikshavn;1994K1;3777;4552
Frederikshavn;1994K2;4056;5317
Frederikshavn;1994K3;3866;4877
Frederikshavn;1994K4;3969;4113
Frederikshavn;1995K1;3983;4996
Frederikshavn;1995K2;3983;4916
Frederikshavn;1995K3;3861;4897
Frederikshavn;1995K4;3931;5557
Frederikshavn;1996K1;3840;4239
Frederikshavn;1996K2;4226;5100
Frederikshavn;1996K3;4279;5346
Frederikshavn;1996K4;4601;5043
Frederikshavn;1997K1;4599;5096
Frederikshavn;1997K2;4444;5977
Frederikshavn;1997K3;4455;5929
Frederikshavn;1997K4;4571;8305
Frederikshavn;1998K1;4816;6690
Frederikshavn;1998K2;4719;6451
Frederikshavn;1998K3;4652;5362
Frederikshavn;1998K4;4954;5608
Frederikshavn;1999K1;5182;9239
Frederikshavn;1999K2;5150;7710
Frederikshavn;1999K3;5037;6378
Frederikshavn;1999K4;4572;6214
Frederikshavn;2000K1;5300;6270
Frederikshavn;2000K2;5114;7036
Frederikshavn;2000K3;5411;6017
Frederikshavn;2000K4;5344;7079
Frederikshavn;2001K1;5456;7608
Frederikshavn;2001K2;5545;6595
Frederikshavn;2001K3;5475;7384
Frederikshavn;2001K4;5244;5941
Frederikshavn;2002K1;5410;6552
Frederikshavn;2002K2;5900;7684
Frederikshavn;2002K3;5619;6763
Frederikshavn;2002K4;5103;6471
Frederikshavn;2003K1;5731;6239
Frederikshavn;2003K2;5616;7023
Frederikshavn;2003K3;6016;6968
Frederikshavn;2003K4;6056;7898
Frederikshavn;2004K1;5878;7448
Frederikshavn;2004K2;6404;8169
Frederikshavn;2004K3;6229;7794
Frederikshavn;2004K4;6105;7630
Frederikshavn;2005K1;6469;8924
Frederikshavn;2005K2;7102;8929
Frederikshavn;2005K3;7010;9718
Frederikshavn;2005K4;6948;11052
Frederikshavn;2006K1;7137;12198
Frederikshavn;2006K2;8115;10450
Frederikshavn;2006K3;8136;NA
Frederikshavn;2006K4;7807;12363
Frederikshavn;2007K1;7947;9493
Frederikshavn;2007K2;8995;13867
Frederikshavn;2007K3;9209;13900
Frederikshavn;2007K4;7815;14919
Frederikshavn;2008K1;8826;11870
Frederikshavn;2008K2;8623;12760
Frederikshavn;2008K3;7914;12840
Frederikshavn;2008K4;8504;15364
Frederikshavn;2009K1;7748;10605
Frederikshavn;2009K2;8695;9845
Frederikshavn;2009K3;9129;13432
Frederikshavn;2009K4;9050;14647
Frederikshavn;2010K1;8379;13933
Frederikshavn;2010K2;9806;13173
Frederikshavn;2010K3;8751;12837
Frederikshavn;2010K4;8003;8446
Frederikshavn;2011K1;7933;9698
Frederikshavn;2011K2;8162;13867
Frederikshavn;2011K3;8638;NA
Frederikshavn;2011K4;7370;NA
Frederikshavn;2012K1;8885;10335
Frederikshavn;2012K2;8948;12284
Frederikshavn;2012K3;8081;13032
Frederikshavn;2012K4;7728;13952
Frederikshavn;2013K1;7947;NA
Frederikshavn;2013K2;8249;13185
Frederikshavn;2013K3;8667;13982
Frederikshavn;2013K4;7391;13029
Frederikshavn;2014K1;7893;11769
Frederikshavn;2014K2;8683;NA
Frederikshavn;2014K3;8211;12440
Frederikshavn;2014K4;7586;20491
Frederikshavn;2015K1;8184;11057
Frederikshavn;2015K2;7957;13695
Frederikshavn;2015K3;8531;11839
Frederikshavn;2015K4;7651;13430
Frederikshavn;2016K1;7757;15153
Frederikshavn;2016K2;7688;14671
Frederikshavn;2016K3;9338;18022
Frederikshavn;2016K4;8081;14259
Frederikshavn;2017K1;8167;15546
Frederikshavn;2017K2;7836;14936
Frederikshavn;2017K3;8067;10529
Frederikshavn;2017K4;9216;10276
Frederikshavn;2018K1;8785;15661
Frederikshavn;2018K2;8874;14692
Frederikshavn;2018K3;10086;14287
Frederikshavn;2018K4;8452;18379
Frederikshavn;2019K1;8563;9872
Frederikshavn;2019K2;8308;15932
Frederikshavn;2019K3;9305;19568
Frederikshavn;2019K4;8644;16184
Frederikshavn;2020K1;9570;14528
Frederikshavn;2020K2;11308;18437
Frederikshavn;2020K3;9923;21212
Frederikshavn;2020K4;9228;15353
Frederikshavn;2021K1;10663;18437
Frederikshavn;2021K2;10143;20880
Frederikshavn;2021K3;10307;16079
Frederikshavn;2021K4;9061;11648
Frederikshavn;2022K1;10054;16667
Frederikshavn;2022K2;9628;21098
Frederikshavn;2022K3;9780;14282
Frederikshavn;2022K4;8239;18152
Frederikshavn;2023K1;9174;14942
Frederikshavn;2023K2;10016;23461
Frederikshavn;2023K3;10803;21829
Frederikshavn;2023K4;8475;14449
Frederikshavn;2024K1;9258;16635
Frederikshavn;2024K2;9719;19778
Frederikshavn;2024K3;9365;21524
Frederikshavn;2024K4;8638;13255
Aarhus;1992K1;5398;7319
Aarhus;1992K2;5417;7375
Aarhus;1992K3;5259;7393
Aarhus;1992K4;5409;6965
Aarhus;1993K1;4994;6344
Aarhus;1993K2;5425;6735
Aarhus;1993K3;5562;7450
Aarhus;1993K4;5451;7314
Aarhus;1994K1;5692;7501
Aarhus;1994K2;5707;7447
Aarhus;1994K3;5816;7458
Aarhus;1994K4;6046;7477
Aarhus;1995K1;6125;7216
Aarhus;1995K2;6094;7609
Aarhus;1995K3;6310;8119
Aarhus;1995K4;6676;8065
Aarhus;1996K1;6906;8195
Aarhus;1996K2;7078;8802
Aarhus;1996K3;7389;9284
Aarhus;1996K4;7706;9094
Aarhus;1997K1;8000;9882
Aarhus;1997K2;8284;10001
Aarhus;1997K3;8328;10356
Aarhus;1997K4;8335;10227
Aarhus;1998K1;8545;10746
Aarhus;1998K2;8977;11275
Aarhus;1998K3;9085;12042
Aarhus;1998K4;9170;11445
Aarhus;1999K1;9204;11544
Aarhus;1999K2;9533;11995
Aarhus;1999K3;9662;12411
Aarhus;1999K4;9368;12201
Aarhus;2000K1;9474;12006
Aarhus;2000K2;9765;12926
Aarhus;2000K3;9712;13072
Aarhus;2000K4;10136;12491
Aarhus;2001K1;10248;12951
Aarhus;2001K2;10167;13034
Aarhus;2001K3;10269;13660
Aarhus;2001K4;9776;13071
Aarhus;2002K1;9941;13176
Aarhus;2002K2;10490;13862
Aarhus;2002K3;10725;13946
Aarhus;2002K4;10411;13664
Aarhus;2003K1;10683;14525
Aarhus;2003K2;10962;15006
Aarhus;2003K3;11039;15702
Aarhus;2003K4;11024;15181
Aarhus;2004K1;11597;16342
Aarhus;2004K2;12494;17730
Aarhus;2004K3;12416;19053
Aarhus;2004K4;13318;19240
Aarhus;2005K1;13959;20690
Aarhus;2005K2;14935;21385
Aarhus;2005K3;16208;23770
Aarhus;2005K4;17117;24350
Aarhus;2006K1;18057;26487
Aarhus;2006K2;19563;27771
Aarhus;2006K3;19794;27270
Aarhus;2006K4;18904;26135
Aarhus;2007K1;19472;26220
Aarhus;2007K2;19488;25109
Aarhus;2007K3;19202;24692
Aarhus;2007K4;19118;23073
Aarhus;2008K1;18721;23644
Aarhus;2008K2;18847;23490
Aarhus;2008K3;18382;22365
Aarhus;2008K4;16811;20566
Aarhus;2009K1;16330;19114
Aarhus;2009K2;17136;21161
Aarhus;2009K3;16981;20826
Aarhus;2009K4;17086;21498
Aarhus;2010K1;17445;22478
Aarhus;2010K2;18566;23516
Aarhus;2010K3;17997;23282
Aarhus;2010K4;18320;22786
Aarhus;2011K1;18650;23896
Aarhus;2011K2;17780;23587
Aarhus;2011K3;17842;23082
Aarhus;2011K4;17072;22662
Aarhus;2012K1;17366;22248
Aarhus;2012K2;17923;23036
Aarhus;2012K3;17626;23044
Aarhus;2012K4;18174;23357
Aarhus;2013K1;17877;23492
Aarhus;2013K2;18240;24475
Aarhus;2013K3;17922;24150
Aarhus;2013K4;18202;23149
Aarhus;2014K1;18057;23682
Aarhus;2014K2;18164;25388
Aarhus;2014K3;18303;25843
Aarhus;2014K4;18629;25053
Aarhus;2015K1;19649;27121
Aarhus;2015K2;19826;27806
Aarhus;2015K3;19833;27592
Aarhus;2015K4;19583;27817
Aarhus;2016K1;19889;28386
Aarhus;2016K2;20660;30482
Aarhus;2016K3;20572;28885
Aarhus;2016K4;20067;28995
Aarhus;2017K1;20387;30768
Aarhus;2017K2;21119;30635
Aarhus;2017K3;20874;30628
Aarhus;2017K4;20358;30987
Aarhus;2018K1;21076;31110
Aarhus;2018K2;22495;32545
Aarhus;2018K3;21827;32500
Aarhus;2018K4;21717;31278
Aarhus;2019K1;21951;30811
Aarhus;2019K2;21981;32126
Aarhus;2019K3;22847;31987
Aarhus;2019K4;22831;31996
Aarhus;2020K1;22481;32608
Aarhus;2020K2;22935;32611
Aarhus;2020K3;24120;34261
Aarhus;2020K4;24965;34976
Aarhus;2021K1;26084;36528
Aarhus;2021K2;26188;37713
Aarhus;2021K3;26541;36980
Aarhus;2021K4;26763;38245
Aarhus;2022K1;26714;37341
Aarhus;2022K2;27326;38510
Aarhus;2022K3;26489;37457
Aarhus;2022K4;26600;35120
Aarhus;2023K1;26090;35673
Aarhus;2023K2;27291;36621
Aarhus;2023K3;25989;36602
Aarhus;2023K4;27401;36759
Aarhus;2024K1;25672;36159
Aarhus;2024K2;27112;37732
Aarhus;2024K3;26718;36861
Aarhus;2024K4;27525;36469
Ringkoebing_Skjern;1992K1;3209;2446
Ringkoebing_Skjern;1992K2;3055;2479
Ringkoebing_Skjern;1992K3;3196;2679
Ringkoebing_Skjern;1992K4;3106;2700
Ringkoebing_Skjern;1993K1;2941;2563
Ringkoebing_Skjern;1993K2;3020;2898
Ringkoebing_Skjern;1993K3;3356;3337
Ringkoebing_Skjern;1993K4;3161;3578
Ringkoebing_Skjern;1994K1;3448;3322
Ringkoebing_Skjern;1994K2;3530;3954
Ringkoebing_Skjern;1994K3;3482;3121
Ringkoebing_Skjern;1994K4;3212;3387
Ringkoebing_Skjern;1995K1;3626;3104
Ringkoebing_Skjern;1995K2;3577;3756
Ringkoebing_Skjern;1995K3;3839;3613
Ringkoebing_Skjern;1995K4;3757;3850
Ringkoebing_Skjern;1996K1;3693;3327
Ringkoebing_Skjern;1996K2;3849;3749
Ringkoebing_Skjern;1996K3;3782;3571
Ringkoebing_Skjern;1996K4;4090;3897
Ringkoebing_Skjern;1997K1;4005;3281
Ringkoebing_Skjern;1997K2;4293;3984
Ringkoebing_Skjern;1997K3;4201;4173
Ringkoebing_Skjern;1997K4;4219;4896
Ringkoebing_Skjern;1998K1;4173;4498
Ringkoebing_Skjern;1998K2;4504;4437
Ringkoebing_Skjern;1998K3;4304;4115
Ringkoebing_Skjern;1998K4;4199;3568
Ringkoebing_Skjern;1999K1;4694;3852
Ringkoebing_Skjern;1999K2;4841;4575
Ringkoebing_Skjern;1999K3;4318;4321
Ringkoebing_Skjern;1999K4;4704;4269
Ringkoebing_Skjern;2000K1;4713;4431
Ringkoebing_Skjern;2000K2;4976;4233
Ringkoebing_Skjern;2000K3;4841;4894
Ringkoebing_Skjern;2000K4;4827;4980
Ringkoebing_Skjern;2001K1;4778;5621
Ringkoebing_Skjern;2001K2;4791;5238
Ringkoebing_Skjern;2001K3;4862;3267
Ringkoebing_Skjern;2001K4;5037;5511
Ringkoebing_Skjern;2002K1;5119;4718
Ringkoebing_Skjern;2002K2;5380;6146
Ringkoebing_Skjern;2002K3;5129;4794
Ringkoebing_Skjern;2002K4;4806;4842
Ringkoebing_Skjern;2003K1;4997;6985
Ringkoebing_Skjern;2003K2;5361;8611
Ringkoebing_Skjern;2003K3;5432;6315
Ringkoebing_Skjern;2003K4;5216;4946
Ringkoebing_Skjern;2004K1;4769;NA
Ringkoebing_Skjern;2004K2;5442;11006
Ringkoebing_Skjern;2004K3;5694;NA
Ringkoebing_Skjern;2004K4;5894;11052
Ringkoebing_Skjern;2005K1;5537;9684
Ringkoebing_Skjern;2005K2;6011;12181
Ringkoebing_Skjern;2005K3;5434;8883
Ringkoebing_Skjern;2005K4;5857;10308
Ringkoebing_Skjern;2006K1;5888;12542
Ringkoebing_Skjern;2006K2;6260;12949
Ringkoebing_Skjern;2006K3;6012;10894
Ringkoebing_Skjern;2006K4;6334;10611
Ringkoebing_Skjern;2007K1;6537;12312
Ringkoebing_Skjern;2007K2;6811;12764
Ringkoebing_Skjern;2007K3;6660;11996
Ringkoebing_Skjern;2007K4;6732;9895
Ringkoebing_Skjern;2008K1;7234;11985
Ringkoebing_Skjern;2008K2;7174;11335
Ringkoebing_Skjern;2008K3;7540;10658
Ringkoebing_Skjern;2008K4;6850;8209
Ringkoebing_Skjern;2009K1;7027;NA
Ringkoebing_Skjern;2009K2;6880;13922
Ringkoebing_Skjern;2009K3;6662;9078
Ringkoebing_Skjern;2009K4;7072;11247
Ringkoebing_Skjern;2010K1;6618;NA
Ringkoebing_Skjern;2010K2;6821;11688
Ringkoebing_Skjern;2010K3;7000;11615
Ringkoebing_Skjern;2010K4;6999;9685
Ringkoebing_Skjern;2011K1;6581;13744
Ringkoebing_Skjern;2011K2;6592;13035
Ringkoebing_Skjern;2011K3;6403;NA
Ringkoebing_Skjern;2011K4;6829;NA
Ringkoebing_Skjern;2012K1;6615;NA
Ringkoebing_Skjern;2012K2;5971;11420
Ringkoebing_Skjern;2012K3;6451;NA
Ringkoebing_Skjern;2012K4;5506;NA
Ringkoebing_Skjern;2013K1;6195;11596
Ringkoebing_Skjern;2013K2;6135;9402
Ringkoebing_Skjern;2013K3;5988;10378
Ringkoebing_Skjern;2013K4;6553;7105
Ringkoebing_Skjern;2014K1;5923;NA
Ringkoebing_Skjern;2014K2;5999;10621
Ringkoebing_Skjern;2014K3;6009;8394
Ringkoebing_Skjern;2014K4;5680;NA
Ringkoebing_Skjern;2015K1;6554;NA
Ringkoebing_Skjern;2015K2;6258;12504
Ringkoebing_Skjern;2015K3;5468;12714
Ringkoebing_Skjern;2015K4;5892;8997
Ringkoebing_Skjern;2016K1;5547;8472
Ringkoebing_Skjern;2016K2;5986;10146
Ringkoebing_Skjern;2016K3;5967;11222
Ringkoebing_Skjern;2016K4;6274;9679
Ringkoebing_Skjern;2017K1;6280;13585
Ringkoebing_Skjern;2017K2;6419;10437
Ringkoebing_Skjern;2017K3;6618;NA
Ringkoebing_Skjern;2017K4;6341;11279
Ringkoebing_Skjern;2018K1;6665;13396
Ringkoebing_Skjern;2018K2;6688;13941
Ringkoebing_Skjern;2018K3;6347;10948
Ringkoebing_Skjern;2018K4;7147;17245
Ringkoebing_Skjern;2019K1;7109;11935
Ringkoebing_Skjern;2019K2;6737;13517
Ringkoebing_Skjern;2019K3;7109;14042
Ringkoebing_Skjern;2019K4;6676;11901
Ringkoebing_Skjern;2020K1;7165;NA
Ringkoebing_Skjern;2020K2;6495;11498
Ringkoebing_Skjern;2020K3;7314;12791
Ringkoebing_Skjern;2020K4;7295;14036
Ringkoebing_Skjern;2021K1;7250;15484
Ringkoebing_Skjern;2021K2;7461;17601
Ringkoebing_Skjern;2021K3;7503;19548
Ringkoebing_Skjern;2021K4;7548;13841
Ringkoebing_Skjern;2022K1;7054;15995
Ringkoebing_Skjern;2022K2;7236;17831
Ringkoebing_Skjern;2022K3;7190;12448
Ringkoebing_Skjern;2022K4;6919;NA
Ringkoebing_Skjern;2023K1;6800;19437
Ringkoebing_Skjern;2023K2;6504;18031
Ringkoebing_Skjern;2023K3;7420;19096
Ringkoebing_Skjern;2023K4;7701;18545
Ringkoebing_Skjern;2024K1;7538;14748
Ringkoebing_Skjern;2024K2;7901;17500
Ringkoebing_Skjern;2024K3;7404;NA
Ringkoebing_Skjern;2024K4;7722;18566
Silkeborg;1992K1;3828;5280
Silkeborg;1992K2;4182;6281
Silkeborg;1992K3;3822;5975
Silkeborg;1992K4;3773;4931
Silkeborg;1993K1;3790;4693
Silkeborg;1993K2;4173;5235
Silkeborg;1993K3;4185;5461
Silkeborg;1993K4;4052;5173
Silkeborg;1994K1;4185;6921
Silkeborg;1994K2;4253;6427
Silkeborg;1994K3;4106;6263
Silkeborg;1994K4;4202;5149
Silkeborg;1995K1;4195;5519
Silkeborg;1995K2;4174;6180
Silkeborg;1995K3;4480;6233
Silkeborg;1995K4;4683;5856
Silkeborg;1996K1;4775;7118
Silkeborg;1996K2;5102;6282
Silkeborg;1996K3;5118;6261
Silkeborg;1996K4;5318;6254
Silkeborg;1997K1;5382;7187
Silkeborg;1997K2;5622;6226
Silkeborg;1997K3;5556;6994
Silkeborg;1997K4;5868;7284
Silkeborg;1998K1;6357;7740
Silkeborg;1998K2;6499;8199
Silkeborg;1998K3;6470;7708
Silkeborg;1998K4;6123;7352
Silkeborg;1999K1;6532;8057
Silkeborg;1999K2;6679;8553
Silkeborg;1999K3;7051;8460
Silkeborg;1999K4;7130;7755
Silkeborg;2000K1;7284;8770
Silkeborg;2000K2;7198;9243
Silkeborg;2000K3;7275;9495
Silkeborg;2000K4;6779;9279
Silkeborg;2001K1;7157;9362
Silkeborg;2001K2;7423;9871
Silkeborg;2001K3;7200;9786
Silkeborg;2001K4;7143;10139
Silkeborg;2002K1;7354;9006
Silkeborg;2002K2;7586;10024
Silkeborg;2002K3;7369;9793
Silkeborg;2002K4;7457;9842
Silkeborg;2003K1;7422;8675
Silkeborg;2003K2;7407;11810
Silkeborg;2003K3;7861;10425
Silkeborg;2003K4;8056;11335
Silkeborg;2004K1;8356;10782
Silkeborg;2004K2;8141;11787
Silkeborg;2004K3;8186;11808
Silkeborg;2004K4;9002;11553
Silkeborg;2005K1;8971;13471
Silkeborg;2005K2;9050;14636
Silkeborg;2005K3;9771;13854
Silkeborg;2005K4;9761;14357
Silkeborg;2006K1;11861;14824
Silkeborg;2006K2;11116;14306
Silkeborg;2006K3;11735;16517
Silkeborg;2006K4;13824;13572
Silkeborg;2007K1;12896;17806
Silkeborg;2007K2;13250;16692
Silkeborg;2007K3;13562;19188
Silkeborg;2007K4;13124;19831
Silkeborg;2008K1;12949;17929
Silkeborg;2008K2;13461;18148
Silkeborg;2008K3;13897;19573
Silkeborg;2008K4;13121;18356
Silkeborg;2009K1;12200;14860
Silkeborg;2009K2;13103;17160
Silkeborg;2009K3;12221;18608
Silkeborg;2009K4;11800;15286
Silkeborg;2010K1;12614;15981
Silkeborg;2010K2;12287;17057
Silkeborg;2010K3;12085;18850
Silkeborg;2010K4;12497;16993
Silkeborg;2011K1;11736;16958
Silkeborg;2011K2;12238;17533
Silkeborg;2011K3;11811;16513
Silkeborg;2011K4;11375;14903
Silkeborg;2012K1;11559;14745
Silkeborg;2012K2;11561;14623
Silkeborg;2012K3;11913;13836
Silkeborg;2012K4;11692;16258
Silkeborg;2013K1;11895;14624
Silkeborg;2013K2;10702;16901
Silkeborg;2013K3;11750;14948
Silkeborg;2013K4;11401;16070
Silkeborg;2014K1;10785;18014
Silkeborg;2014K2;11879;16145
Silkeborg;2014K3;11572;NA
Silkeborg;2014K4;11264;16975
Silkeborg;2015K1;11608;16422
Silkeborg;2015K2;12457;18019
Silkeborg;2015K3;12004;18003
Silkeborg;2015K4;12512;17088
Silkeborg;2016K1;11929;15060
Silkeborg;2016K2;11479;17352
Silkeborg;2016K3;13145;18562
Silkeborg;2016K4;13045;16167
Silkeborg;2017K1;12577;19791
Silkeborg;2017K2;13108;19708
Silkeborg;2017K3;13471;19319
Silkeborg;2017K4;14238;17173
Silkeborg;2018K1;12995;20662
Silkeborg;2018K2;13190;18034
Silkeborg;2018K3;13629;16445
Silkeborg;2018K4;13480;17066
Silkeborg;2019K1;13477;17734
Silkeborg;2019K2;13835;20197
Silkeborg;2019K3;14429;19439
Silkeborg;2019K4;14127;17762
Silkeborg;2020K1;14011;19449
Silkeborg;2020K2;14652;18293
Silkeborg;2020K3;15202;17655
Silkeborg;2020K4;15326;19108
Silkeborg;2021K1;15237;17900
Silkeborg;2021K2;15904;15872
Silkeborg;2021K3;14979;19717
Silkeborg;2021K4;15721;19213
Silkeborg;2022K1;15650;19358
Silkeborg;2022K2;16031;17344
Silkeborg;2022K3;16731;20517
Silkeborg;2022K4;14948;21262
Silkeborg;2023K1;15628;18945
Silkeborg;2023K2;15426;21121
Silkeborg;2023K3;16646;20181
Silkeborg;2023K4;15745;18416
Silkeborg;2024K1;17190;17617
Silkeborg;2024K2;16474;20755
Silkeborg;2024K3;17189;20316
Silkeborg;2024K4;15740;21864
Vejle;1992K1;3560;4547
Vejle;1992K2;3651;4545
Vejle;1992K3;3714;3871
Vejle;1992K4;3686;4852
Vejle;1993K1;3537;4386
Vejle;1993K2;3832;4946
Vejle;1993K3;3800;4535
Vejle;1993K4;4239;5062
Vejle;1994K1;4010;5647
Vejle;1994K2;4263;4753
Vejle;1994K3;3971;4837
Vejle;1994K4;4039;4127
Vejle;1995K1;4211;4688
Vejle;1995K2;4071;4996
Vejle;1995K3;4087;4620
Vejle;1995K4;4248;5118
Vejle;1996K1;4516;5585
Vejle;1996K2;4790;5212
Vejle;1996K3;4785;5729
Vejle;1996K4;4845;5734
Vejle;1997K1;5277;6082
Vejle;1997K2;5365;6434
Vejle;1997K3;5446;7780
Vejle;1997K4;5684;6535
Vejle;1998K1;5532;4788
Vejle;1998K2;5991;6900
Vejle;1998K3;5636;6677
Vejle;1998K4;5640;6604
Vejle;1999K1;6295;7280
Vejle;1999K2;6518;6834
Vejle;1999K3;6402;7754
Vejle;1999K4;6203;7771
Vejle;2000K1;6586;7802
Vejle;2000K2;6626;6837
Vejle;2000K3;6527;7311
Vejle;2000K4;6525;5995
Vejle;2001K1;7028;7416
Vejle;2001K2;6692;7942
Vejle;2001K3;6969;7824
Vejle;2001K4;6753;8114
Vejle;2002K1;6603;8372
Vejle;2002K2;6631;9142
Vejle;2002K3;7192;8392
Vejle;2002K4;6690;8820
Vejle;2003K1;7075;9110
Vejle;2003K2;6846;9235
Vejle;2003K3;7410;8952
Vejle;2003K4;6991;8790
Vejle;2004K1;7307;8880
Vejle;2004K2;7480;9373
Vejle;2004K3;7909;10504
Vejle;2004K4;8193;9443
Vejle;2005K1;8145;11144
Vejle;2005K2;8706;11354
Vejle;2005K3;9039;11133
Vejle;2005K4;9193;11750
Vejle;2006K1;9752;12343
Vejle;2006K2;10070;13841
Vejle;2006K3;10774;13345
Vejle;2006K4;11412;14157
Vejle;2007K1;10949;14541
Vejle;2007K2;11763;14736
Vejle;2007K3;11871;13690
Vejle;2007K4;12779;15444
Vejle;2008K1;11312;14511
Vejle;2008K2;12288;13112
Vejle;2008K3;11788;15354
Vejle;2008K4;11561;13282
Vejle;2009K1;10717;14377
Vejle;2009K2;12010;13607
Vejle;2009K3;10743;15126
Vejle;2009K4;11192;13012
Vejle;2010K1;10620;12931
Vejle;2010K2;11212;15716
Vejle;2010K3;10911;13179
Vejle;2010K4;11253;11869
Vejle;2011K1;11128;12881
Vejle;2011K2;11043;14835
Vejle;2011K3;10817;13988
Vejle;2011K4;9813;12184
Vejle;2012K1;10165;13110
Vejle;2012K2;10045;14477
Vejle;2012K3;10272;12961
Vejle;2012K4;9854;14750
Vejle;2013K1;10125;10640
Vejle;2013K2;10558;16821
Vejle;2013K3;10121;12043
Vejle;2013K4;9357;10592
Vejle;2014K1;9357;11005
Vejle;2014K2;10086;14535
Vejle;2014K3;10123;12873
Vejle;2014K4;9729;12053
Vejle;2015K1;10594;13248
Vejle;2015K2;10825;13078
Vejle;2015K3;10439;15231
Vejle;2015K4;10661;14077
Vejle;2016K1;10244;14714
Vejle;2016K2;10801;12949
Vejle;2016K3;11182;14443
Vejle;2016K4;10568;13701
Vejle;2017K1;10677;13155
Vejle;2017K2;11140;14040
Vejle;2017K3;11365;16230
Vejle;2017K4;11529;16999
Vejle;2018K1;11776;15491
Vejle;2018K2;11848;16744
Vejle;2018K3;11270;16791
Vejle;2018K4;11182;16940
Vejle;2019K1;11524;18272
Vejle;2019K2;11869;15881
Vejle;2019K3;11660;17157
Vejle;2019K4;11801;17645
Vejle;2020K1;11851;17847
Vejle;2020K2;11784;16291
Vejle;2020K3;12649;17786
Vejle;2020K4;12918;18265
