Municipality;Time;Parcel_og_raekkehus_dkk_pr_m2;Ejerlejlighed_dkk_pr_m2
Kalundborg;1995K2;3530;4914
Kalundborg;1995K3;3443;5468
Kalundborg;1995K4;3737;5545
Kalundborg;1996K1;3853;5152
Kalundborg;1996K2;4029;5622
Kalundborg;1996K3;3758;5216
Kalundborg;1996K4;3914;4562
Kalundborg;1997K1;4018;5081
Kalundborg;1997K2;4315;5342
Kalundborg;1997K3;4117;5397
Kalundborg;1997K4;4526;6330
Kalundborg;1998K1;4618;6083
Kalundborg;1998K2;4826;5721
Kalundborg;1998K3;4751;5882
Kalundborg;1998K4;5111;5815
Kalundborg;1999K1;5019;5976
Kalundborg;1999K2;5022;6855
Kalundborg;1999K3;5268;7451
Kalundborg;1999K4;5244;6975
Kalundborg;2000K1;5757;7307
Kalundborg;2000K2;5709;6857
Kalundborg;2000K3;5574;8987
Kalundborg;2000K4;5697;6450
Kalundborg;2001K1;5634;6837
Kalundborg;2001K2;6101;8055
Kalundborg;2001K3;6146;8432
Kalundborg;2001K4;6519;8130
Kalundborg;2002K1;6760;9217
Kalundborg;2002K2;6599;10037
Kalundborg;2002K3;6559;8935
Kalundborg;2002K4;6741;9728
Kalundborg;2003K1;6811;10397
Kalundborg;2003K2;7457;9951
Kalundborg;2003K3;7497;9531
Kalundborg;2003K4;7368;9820
Kalundborg;2004K1;7393;9753
Kalundborg;2004K2;7265;10159
Kalundborg;2004K3;8224;10132
Kalundborg;2004K4;7762;NA
Kalundborg;2005K1;8199;11835
Kalundborg;2005K2;8094;12348
Kalundborg;2005K3;8916;12555
Kalundborg;2005K4;9301;NA
Kalundborg;2006K1;9195;11981
Kalundborg;2006K2;9252;13739
Kalundborg;2006K3;10219;11128
Kalundborg;2006K4;10401;12060
Kalundborg;2007K1;10620;12227
Kalundborg;2007K2;10753;NA
Kalundborg;2007K3;11027;NA
Kalundborg;2007K4;10960;13351
Kalundborg;2008K1;11020;13779
Kalundborg;2008K2;11536;NA
Kalundborg;2008K3;11158;13300
Kalundborg;2008K4;9980;NA
Kalundborg;2009K1;9536;NA
Kalundborg;2009K2;9111;12048
Kalundborg;2009K3;9438;10595
Kalundborg;2009K4;10212;NA
Kalundborg;2010K1;8468;NA
Kalundborg;2010K2;8365;NA
Kalundborg;2010K3;8838;11704
Kalundborg;2010K4;8571;NA
Kalundborg;2011K1;8077;NA
Kalundborg;2011K2;8274;NA
Kalundborg;2011K3;8200;NA
Kalundborg;2011K4;8599;8163
Kalundborg;2012K1;8159;NA
Kalundborg;2012K2;7902;NA
Kalundborg;2012K3;7832;NA
Kalundborg;2012K4;7075;NA
Kalundborg;2013K1;7438;NA
Kalundborg;2013K2;7649;NA
Kalundborg;2013K3;7034;NA
Kalundborg;2013K4;6524;NA
Kalundborg;2014K1;7569;NA
Kalundborg;2014K2;7424;7087
Kalundborg;2014K3;6624;NA
Kalundborg;2014K4;6613;NA
Kalundborg;2015K1;7416;NA
Kalundborg;2015K2;7186;NA
Kalundborg;2015K3;6877;7345
Kalundborg;2015K4;6741;8525
Kalundborg;2016K1;7283;NA
Kalundborg;2016K2;7718;9279
Kalundborg;2016K3;7702;NA
Kalundborg;2016K4;7686;NA
Kalundborg;2017K1;7427;7758
Kalundborg;2017K2;7988;NA
Kalundborg;2017K3;8049;8425
Kalundborg;2017K4;7577;6259
Kalundborg;2018K1;7945;8833
Kalundborg;2018K2;8175;NA
Kalundborg;2018K3;8541;NA
Kalundborg;2018K4;7461;8626
Kalundborg;2019K1;7917;NA
Kalundborg;2019K2;8240;8823
Kalundborg;2019K3;8625;NA
Kalundborg;2019K4;8444;8495
Kalundborg;2020K1;7959;NA
Kalundborg;2020K2;8764;NA
Kalundborg;2020K3;8535;NA
Kalundborg;2020K4;8934;8985
Kalundborg;2021K1;9303;11464
Kalundborg;2021K2;8900;10305
Kalundborg;2021K3;9094;NA
Kalundborg;2021K4;9275;NA
Kalundborg;2022K1;10051;10816
Kalundborg;2022K2;9653;14359
Kalundborg;2022K3;9268;NA
Kalundborg;2022K4;8558;NA
Kalundborg;2023K1;9422;12148
Kalundborg;2023K2;9190;NA
Kalundborg;2023K3;9729;11606
Kalundborg;2023K4;9824;NA
Kalundborg;2024K1;10254;NA
Kalundborg;2024K2;11048;17083
Kalundborg;2024K3;10088;14394
Kalundborg;2024K4;10947;16366
Gentofte;1992K1;6783;7399
Gentofte;1992K2;7378;7402
Gentofte;1992K3;7288;7767
Gentofte;1992K4;6860;6981
Gentofte;1993K1;6692;7289
Gentofte;1993K2;6840;7309
Gentofte;1993K3;7348;8075
Gentofte;1993K4;7667;7123
Gentofte;1994K1;7652;7838
Gentofte;1994K2;8114;7859
Gentofte;1994K3;8119;7552
Gentofte;1994K4;8204;8022
Gentofte;1995K1;8018;7507
Gentofte;1995K2;8256;7812
Gentofte;1995K3;8912;8060
Gentofte;1995K4;9267;8068
Gentofte;1996K1;9444;8392
Gentofte;1996K2;9119;8734
Gentofte;1996K3;9467;9009
Gentofte;1996K4;10282;8887
Gentofte;1997K1;10462;9170
Gentofte;1997K2;10344;9461
Gentofte;1997K3;11035;9970
Gentofte;1997K4;10564;9883
Gentofte;1998K1;11802;10688
Gentofte;1998K2;12685;11081
Gentofte;1998K3;13159;11001
Gentofte;1998K4;12808;11490
Gentofte;1999K1;13263;11820
Gentofte;1999K2;13724;12722
Gentofte;1999K3;14156;12838
Gentofte;1999K4;13716;12955
Gentofte;2000K1;14408;13610
Gentofte;2000K2;14805;14104
Gentofte;2000K3;15993;15031
Gentofte;2000K4;16040;14597
Gentofte;2001K1;16514;15334
Gentofte;2001K2;16711;16378
Gentofte;2001K3;16819;17015
Gentofte;2001K4;17129;16472
Gentofte;2002K1;17475;17483
Gentofte;2002K2;17331;17484
Gentofte;2002K3;17222;17538
Gentofte;2002K4;18166;18139
Gentofte;2003K1;17590;17699
Gentofte;2003K2;17700;17665
Gentofte;2003K3;18656;18124
Gentofte;2003K4;17539;18333
Gentofte;2004K1;19688;19615
Gentofte;2004K2;20004;20891
Gentofte;2004K3;22731;21633
Gentofte;2004K4;22843;23135
Gentofte;2005K1;24872;24694
Gentofte;2005K2;27125;26426
Gentofte;2005K3;29973;29127
Gentofte;2005K4;31944;30935
Gentofte;2006K1;35761;33134
Gentofte;2006K2;37020;35900
Gentofte;2006K3;36190;35992
Gentofte;2006K4;38038;32755
Gentofte;2007K1;36114;31705
Gentofte;2007K2;34251;32830
Gentofte;2007K3;33415;31935
Gentofte;2007K4;33397;30849
Gentofte;2008K1;32308;31607
Gentofte;2008K2;30940;30488
Gentofte;2008K3;29845;30154
Gentofte;2008K4;27759;28628
Gentofte;2009K1;25799;23877
Gentofte;2009K2;26529;21643
Gentofte;2009K3;28160;22857
Gentofte;2009K4;28427;25120
Gentofte;2010K1;30179;23622
Gentofte;2010K2;31926;24911
Gentofte;2010K3;32184;24977
Gentofte;2010K4;31726;27336
Gentofte;2011K1;32193;24960
Gentofte;2011K2;30414;25625
Gentofte;2011K3;28593;23882
Gentofte;2011K4;29322;24078
Gentofte;2012K1;29012;24021
Gentofte;2012K2;28675;24256
Gentofte;2012K3;29856;23421
Gentofte;2012K4;29438;24388
Gentofte;2013K1;30475;25281
Gentofte;2013K2;32221;26505
Gentofte;2013K3;31586;28098
Gentofte;2013K4;31373;27198
Gentofte;2014K1;32411;27091
Gentofte;2014K2;33656;29185
Gentofte;2014K3;33961;28051
Gentofte;2014K4;34237;27999
Gentofte;2015K1;33574;29571
Gentofte;2015K2;36560;31181
Gentofte;2015K3;35295;30977
Gentofte;2015K4;36788;31378
Gentofte;2016K1;36060;32831
Gentofte;2016K2;36767;33207
Gentofte;2016K3;39197;34007
Gentofte;2016K4;39404;34420
Gentofte;2017K1;40616;33190
Gentofte;2017K2;41306;35869
Gentofte;2017K3;41881;36455
Gentofte;2017K4;40977;37781
Gentofte;2018K1;41285;37555
Gentofte;2018K2;41921;37229
Gentofte;2018K3;42675;38220
Gentofte;2018K4;42353;38076
Gentofte;2019K1;43232;38812
Gentofte;2019K2;44028;39162
Gentofte;2019K3;45592;38736
Gentofte;2019K4;45414;39506
Gentofte;2020K1;45853;41018
Gentofte;2020K2;46541;39891
Gentofte;2020K3;48728;42122
Gentofte;2020K4;52652;44105
Gentofte;2021K1;55083;45113
Gentofte;2021K2;58967;46703
Gentofte;2021K3;59519;47522
Gentofte;2021K4;62877;47663
Gentofte;2022K1;63399;50221
Gentofte;2022K2;63581;48659
Gentofte;2022K3;59112;46144
Gentofte;2022K4;54914;46451
Gentofte;2023K1;52584;42251
Gentofte;2023K2;58970;43116
Gentofte;2023K3;57708;49128
Gentofte;2023K4;56496;45007
Gentofte;2024K1;56506;45372
Gentofte;2024K2;56348;48420
Gentofte;2024K3;56866;49093
Gentofte;2024K4;63441;50019
Bornholm;1992K1;NA;NA
Bornholm;1992K2;NA;NA
Bornholm;1992K3;NA;NA
Bornholm;1992K4;NA;NA
Bornholm;1993K1;NA;NA
Bornholm;1993K2;NA;NA
Bornholm;1993K3;NA;NA
Bornholm;1993K4;NA;NA
Bornholm;1994K1;NA;NA
Bornholm;1994K2;NA;NA
Bornholm;1994K3;NA;NA
Bornholm;1994K4;NA;NA
Bornholm;1995K1;NA;NA
Bornholm;1995K2;NA;NA
Bornholm;1995K3;NA;NA
Bornholm;1995K4;NA;NA
Bornholm;1996K1;3396;2235
Bornholm;1996K2;3155;2879
Bornholm;1996K3;3644;2173
Bornholm;1996K4;3353;1708
Bornholm;1997K1;3784;2597
Bornholm;1997K2;3610;2502
Bornholm;1997K3;3712;2332
Bornholm;1997K4;3792;2431
Bornholm;1998K1;3713;2715
Bornholm;1998K2;3756;2847
Bornholm;1998K3;3751;3079
Bornholm;1998K4;3821;3337
Bornholm;1999K1;3930;2753
Bornholm;1999K2;4069;2236
Bornholm;1999K3;3854;2443
Bornholm;1999K4;4082;NA
Bornholm;2000K1;3981;4436
Bornholm;2000K2;4074;3593
